system:index,EVI_season_mean,GPP_season_tCO2_ha,NDVI_season_mean,NEE_season_tCO2_ha,Q10,Reco_season_tCO2_ha,Rref_gC_m2_day_at_Tref,Tmax_C,Tmin_C,Topt_C,Tref_C,alpha_gC_m2_day,crop_key,crop_name,months_with_S2,season_end_month,season_start_month,year,.geo
0,0.4218285440726226,9.007072007152253,0.47979432870196287,-7.189444494111438,2,16.19651650126369,2,40,8,28,10,12,maize,Maize,4,9,5,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.4616066789096708,14.107702407344064,0.5058102276202486,-5.934709880108354,2,20.042412287452418,2,40,8,28,10,12,maize,Maize,5,9,5,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.4192700267464762,10.473291932406024,0.5986160857813675,-7.896581614155277,2,18.3698735465613,2,40,8,28,10,12,maize,Maize,5,9,5,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.3738351418427491,14.307824326536213,0.574219209849839,-7.503846375607306,2,21.81167070214352,2,40,8,28,10,12,maize,Maize,5,9,5,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.380829407292723,13.15330047534513,0.5654781070365449,-7.458745141820138,2,20.61204561716527,2,40,8,28,10,12,maize,Maize,5,9,5,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.3918553372698193,12.621107005144932,0.5824961816890023,-6.909101775245766,2,19.530208780390698,2,40,8,28,10,12,maize,Maize,5,9,5,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.4266620851827954,13.354337494628536,0.6018568690488086,-5.771586467351854,2,19.12592396198039,2,40,8,28,10,12,maize,Maize,5,9,5,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.3929383443372217,13.224280003580875,0.5848946492390409,-6.815936532863846,2,20.04021653644472,2,40,8,28,10,12,maize,Maize,5,9,5,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.42692834799718016,14.687515919145914,0.6269385043295699,-5.5242184687324905,2,20.211734387878405,2,40,8,28,10,12,maize,Maize,5,9,5,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.4264209544521589,15.663728758869976,0.6403667224018531,-5.199413460294782,2,20.863142219164757,2,40,8,28,10,12,maize,Maize,5,9,5,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.4262703490876673,13.608339187767658,0.6341162768284218,-5.517133479806677,2,19.125472667574336,2,40,8,28,10,12,maize,Maize,5,9,5,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.45104725220849634,6.814413761175424,0.4927770405131206,-6.340857773761884,2,13.155271534937308,2,32,0,18,10,9,wheat,Winter wheat,3,8,3,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.4601389613377219,17.451027329427866,0.5130943931736986,-2.174585640266315,2,19.62561296969418,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.39398979418441765,14.958177413832061,0.5411171064148661,-4.225102902363037,2,19.1832803161951,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.3592853220437652,16.219415119526783,0.5628678740611913,-6.0205439132707035,2,22.239959032797486,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.3794494812947658,15.523919123690334,0.5711326724475804,-6.0021894967271585,2,21.526108620417492,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.38153344140709244,16.46774257174126,0.5756033288982227,-3.5384129763735714,2,20.006155548114833,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.39892172685010474,16.31660764627548,0.5675479839250099,-2.734782641294018,2,19.051390287569497,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.3744794665693472,15.964600564350755,0.5695812237140954,-4.650869842172801,2,20.615470406523556,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.4082221221300752,17.4295453754466,0.5932050630769808,-2.2326974353393894,2,19.66224281078599,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.41661130360124377,19.782305359756883,0.6261396099694402,-1.7043194670515973,2,21.48662482680848,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.4016743153115882,18.713257135612537,0.6088070727396132,-1.2050399309077662,2,19.918297066520303,2,32,0,18,10,9,wheat,Winter wheat,6,8,3,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.4749634958676169,3.3922259334265767,0.5065811301885239,-4.549554416228978,2,7.941780349655555,2,30,0,17,10,8,rape,Rapeseed,2,7,2,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.45171635748140365,11.92766325150792,0.5068272599356055,-4.881490472002785,2,16.809153723510704,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.365480019456388,10.567107689108738,0.4758056247064672,-5.527068154382533,2,16.09417584349127,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.3539094858105139,11.667209423426343,0.5633898035097017,-6.270478713153022,2,17.937688136579364,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.36918472769801075,11.516950488439234,0.5737380067984458,-6.496095905819301,2,18.013046394258534,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.3707673113146129,12.805332922020607,0.57029693399023,-3.585356473240182,2,16.39068939526079,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.3725751038146561,10.432891697513732,0.5543714417724047,-5.797327707942234,2,16.230219405455966,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.3671367825662168,12.105439259198578,0.563626700301208,-4.926647557052094,2,17.032086816250672,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.3930450512363073,12.196188215472187,0.5765760770383626,-4.34038164999405,2,16.536569865466237,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.4039492729203852,14.960263299776969,0.6183344468799755,-3.2398245006376776,2,18.200087800414646,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.3841389005641145,13.007224513920965,0.5951587108594519,-3.732022664249113,2,16.73924717817008,2,30,0,17,10,8,rape,Rapeseed,6,7,2,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
